time="2024-07-25 16:27:00" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2024-07-25 16:27:17" level=info msg="| 200 |     3.25975ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu2 |"
time="2024-07-25 16:27:18" level=info msg="| 200 |    16.04625ms |       127.0.0.1 | POST | /visitor_login |"
time="2024-07-25 16:27:18" level=info msg="| 200 |    4.325708ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:27:18" level=info msg="| 404 |          84ns |       127.0.0.1 | GET | /apple-touch-icon-precomposed.png |"
time="2024-07-25 16:27:18" level=info msg="| 404 |          41ns |       127.0.0.1 | GET | /apple-touch-icon.png |"
time="2024-07-25 16:27:18" level=info msg="| 404 |          41ns |       127.0.0.1 | GET | /favicon.ico |"
time="2024-07-25 16:27:18" level=info msg="| 200 |    1.625583ms |       127.0.0.1 | GET | /notice?kefu_id=kefu2 |"
time="2024-07-25 16:27:25" level=info msg="| 200 |   11.948333ms |       127.0.0.1 | POST | /2/message |"
time="2024-07-25 16:27:54" level=info msg="| 200 |   11.759792ms |       127.0.0.1 | POST | /2/message |"
time="2024-07-25 16:28:07" level=info msg="| 200 |   21.056458ms |       127.0.0.1 | POST | /2/message |"
time="2024-07-25 16:28:16" level=info msg="| 200 |     3.53225ms |       127.0.0.1 | POST | /uploadfile |"
time="2024-07-25 16:28:16" level=info msg="| 200 |   14.175916ms |       127.0.0.1 | POST | /2/message |"
time="2024-07-25 16:28:33" level=info msg="| 200 | 1m15.715735542s |       127.0.0.1 | GET | /ws_visitor?visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:28:39" level=info msg="| 200 |      2.2305ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu2 |"
time="2024-07-25 16:28:39" level=info msg="| 200 |   16.286958ms |       127.0.0.1 | POST | /visitor_login |"
time="2024-07-25 16:28:39" level=info msg="| 200 |    4.107834ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:28:39" level=info msg="| 200 |    1.364709ms |       127.0.0.1 | GET | /notice?kefu_id=kefu2 |"
time="2024-07-25 16:28:43" level=info msg="| 200 |    4.676666ms |       127.0.0.1 | GET | /2/messagesPages?page=2&pagesize=5&visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:28:53" level=info msg="| 200 |    4.296208ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu2 |"
time="2024-07-25 16:28:53" level=info msg="| 200 |   14.1960655s |       127.0.0.1 | GET | /ws_visitor?visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:28:53" level=info msg="| 200 |   12.740875ms |       127.0.0.1 | POST | /visitor_login |"
time="2024-07-25 16:28:53" level=info msg="| 200 |    3.854583ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:28:53" level=info msg="| 200 |    2.425458ms |       127.0.0.1 | GET | /notice?kefu_id=kefu2 |"
time="2024-07-25 16:31:39" level=info msg="| 200 |    2.740792ms |       127.0.0.1 | GET | /chatIndex |"
time="2024-07-25 16:31:39" level=info msg="| 200 |   12.207667ms |       127.0.0.1 | POST | /visitor_login |"
time="2024-07-25 16:31:39" level=info msg="| 200 |     3.04125ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:31:39" level=info msg="| 200 | 2m45.574219459s |       127.0.0.1 | GET | /ws_visitor?visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:31:39" level=info msg="| 200 |    1.158125ms |       127.0.0.1 | GET | /notice?kefu_id=kefu2 |"
time="2024-07-25 16:31:43" level=info msg="| 200 |    3.660333ms |       127.0.0.1 | GET | / |"
time="2024-07-25 16:31:43" level=info msg="| 200 |  3.906648875s |       127.0.0.1 | GET | /ws_visitor?visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:31:48" level=info msg="| 200 |    2.588417ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu2 |"
time="2024-07-25 16:31:48" level=info msg="| 200 |   12.965666ms |       127.0.0.1 | POST | /visitor_login |"
time="2024-07-25 16:31:48" level=info msg="| 200 |    3.133083ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:31:48" level=info msg="| 200 |    2.685458ms |       127.0.0.1 | GET | /notice?kefu_id=kefu2 |"
time="2024-07-25 16:31:50" level=info msg="| 200 |    5.087708ms |       127.0.0.1 | GET | /2/messagesPages?page=2&pagesize=5&visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:31:52" level=info msg="| 200 |  4.071340708s |       127.0.0.1 | GET | /ws_visitor?visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:33:53" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2024-07-25 16:34:00" level=info msg="| 200 |    4.049333ms |       127.0.0.1 | GET | /chatIndex?kefu_id=kefu2 |"
time="2024-07-25 16:34:00" level=info msg="| 200 |    9.567625ms |       127.0.0.1 | POST | /visitor_login |"
time="2024-07-25 16:34:00" level=info msg="| 200 |    2.626167ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:34:00" level=info msg="| 200 |    1.127541ms |       127.0.0.1 | GET | /notice?kefu_id=kefu2 |"
time="2024-07-25 16:34:05" level=info msg="| 200 |     8.35825ms |       127.0.0.1 | GET | /2/messagesPages?page=2&pagesize=5&visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:34:15" level=info msg="| 200 | 15.331084833s |       127.0.0.1 | GET | /ws_visitor?visitor_id=3a28bab0-b836-490d-a898-3525ed045007 |"
time="2024-07-25 16:35:04" level=info msg="| 200 |    3.500958ms |             ::1 | GET | / |"
time="2024-07-25 16:35:25" level=info msg="| 200 |      20.417µs |             ::1 | GET | /ws_kefu |"
time="2024-07-25 16:35:25" level=info msg="| 404 |          83ns |             ::1 | GET | /favicon.ico |"
time="2024-07-25 16:35:25" level=info msg="| 404 |          83ns |             ::1 | GET | /apple-touch-icon-precomposed.png |"
time="2024-07-25 16:35:25" level=info msg="| 404 |          83ns |             ::1 | GET | /apple-touch-icon.png |"
time="2024-07-25 16:35:38" level=info msg="| 200 |    6.339667ms |             ::1 | GET | /about |"
time="2024-07-25 16:35:54" level=info msg="| 200 |      26.166µs |             ::1 | GET | /micro_program |"
time="2024-07-25 16:36:00" level=info msg="| 404 |          41ns |             ::1 | GET | /chartStatistics |"
time="2024-07-25 16:36:05" level=info msg="| 404 |         250ns |             ::1 | GET | /kefu |"
time="2024-07-25 16:36:14" level=info msg="| 200 |          37µs |             ::1 | GET | /replys |"
time="2024-07-25 16:36:24" level=info msg="| 200 |      19.667µs |             ::1 | GET | /ws_kefu |"
time="2024-07-25 16:36:43" level=info msg="| 200 |      25.167µs |             ::1 | GET | /userinfo |"
time="2024-07-25 16:36:47" level=info msg="| 200 |      43.625µs |             ::1 | GET | /userinfo |"
time="2024-07-25 16:36:56" level=info msg="| 200 |    4.940083ms |             ::1 | GET | /login |"
